N_stages,St_len_min,K_nb_max,N_cl_max,Cl_cen,Ward_dist,Cen_dist,Silh,Cal-Har,Dav-Bold,St_edges
12,25,7,10,mean,5877.465351817191,29.320320808616508,0.13788071080720127,11.878543044297311,2.597516402086687,"[0, 30, 41, 44, 114, 141, 164, 170, 286, 295, 323, 325, 357]"
13,25,7,10,med,5398.621977881871,29.887492143891066,0.14211754770870133,11.020032693650641,2.2406450002918823,"[0, 30, 41, 44, 115, 141, 164, 169, 170, 286, 295, 323, 325, 357]"
13,25,7,10,mode,5398.621977881871,29.887492143891066,0.14211754770870133,11.020032693650641,2.2406450002918823,"[0, 30, 41, 44, 115, 141, 164, 169, 170, 286, 295, 323, 325, 357]"
13,25,7,10,mean,5371.165479942994,29.800012649723598,0.14110151586401476,10.93178700628316,2.268296906592333,"[0, 30, 41, 44, 114, 141, 164, 169, 170, 286, 295, 323, 325, 357]"
3,25,7,15,med,5542.402688142826,11.411956620606507,0.04935626575361124,9.741404062214745,4.654381482388091,"[0, 141, 323, 357]"
3,25,7,15,mode,5542.402688142826,11.411956620606507,0.04935626575361124,9.741404062214745,4.654381482388091,"[0, 141, 323, 357]"
3,25,7,15,mean,4954.816834391307,10.56210400117207,0.046604893446446624,8.663928268090803,4.8475960145431305,"[0, 118, 320, 357]"
4,25,7,15,med,4296.4335729872955,10.679173463151587,0.03352083563124098,7.281243275020029,4.742815490372055,"[0, 41, 142, 323, 357]"
4,25,7,15,mode,3717.0020447817637,9.794726979271488,0.05375497251103723,6.6525159615759,5.510050918404677,"[0, 44, 141, 323, 357]"
4,25,7,15,mean,3858.143516968658,10.026117908000488,0.03008934873961221,6.486664154485108,4.958533257995572,"[0, 39, 150, 320, 357]"
5,25,7,15,med,4083.360543912173,12.409847086399276,0.05806301190301104,7.095318673320806,3.813602755740776,"[0, 41, 141, 170, 323, 357]"
5,25,7,15,mode,4147.309796689653,13.064216072240374,0.1029799049879138,7.8557469919060585,3.9030114760940076,"[0, 44, 141, 164, 323, 357]"
5,25,7,15,mean,3021.2735973588715,9.995836303972506,0.04210929536471123,5.225573701176116,4.847141080955541,"[0, 39, 131, 169, 320, 357]"
6,25,7,15,med,4086.225506084472,13.651334872380342,0.05644269861203116,7.0974336927640085,3.398037664057886,"[0, 41, 115, 141, 170, 323, 357]"
6,25,7,15,mode,3864.7418174959266,13.593122269039153,0.08942894346197534,7.255724871796377,3.690592841259787,"[0, 44, 115, 141, 164, 323, 357]"
6,25,7,15,mean,3887.508126011298,13.298796035205006,0.05527171917061917,6.772892873861065,3.513338033624035,"[0, 39, 114, 141, 169, 320, 357]"
7,25,7,15,med,3365.4892625164343,12.64788550105708,0.04816735407994152,5.845983713166021,3.939404863360977,"[0, 41, 115, 141, 170, 281, 323, 357]"
7,25,7,15,mode,3357.5544017462576,12.80391178263992,0.0781082812346217,6.3221998102229895,4.1296865927569275,"[0, 44, 115, 141, 164, 276, 323, 357]"
7,25,7,15,mean,3297.883310523455,12.584712522411445,0.047604461958234055,5.786795901909354,3.9339739024705236,"[0, 39, 114, 141, 169, 283, 323, 357]"
8,25,7,15,med,3311.9506671236663,12.864160645763347,0.04882533392095069,5.78959451731439,3.913108616872077,"[0, 41, 115, 141, 169, 204, 281, 323, 357]"
8,25,7,15,mode,3069.8119320284304,12.32435711223602,0.06865098200227973,5.720799024419094,4.439095186830735,"[0, 44, 115, 141, 164, 204, 276, 323, 357]"
8,25,7,15,mean,3128.8425132054253,12.540181588630219,0.046111175068063115,5.481772399557178,4.0095264588258575,"[0, 39, 114, 141, 168, 204, 283, 323, 357]"
9,25,7,15,med,3768.644744192295,15.361072539923583,0.09136565076359318,6.124519549605601,3.595839618526405,"[0, 30, 44, 115, 141, 169, 204, 281, 323, 357]"
9,25,7,15,mode,3814.322069453168,15.442342253331258,0.09614348670132243,6.179506386165449,3.7900526783997153,"[0, 30, 44, 115, 141, 164, 204, 276, 323, 357]"
9,25,7,15,mean,2660.6407108398926,12.415873747479319,0.04875091039516852,4.7306954131789185,4.0562427082707355,"[0, 30, 42, 114, 141, 168, 204, 283, 323, 357]"
10,25,7,15,med,3117.8129164193624,15.571843245773502,0.07845644210303858,5.038290615557979,3.4082245875674535,"[0, 30, 44, 115, 141, 164, 170, 204, 281, 323, 357]"
10,25,7,15,mode,3170.1110231756484,15.674541975129586,0.07553144543451329,5.14945898631231,3.411907206850422,"[0, 30, 44, 115, 141, 164, 169, 204, 276, 323, 357]"
10,25,7,15,mean,2183.787690802937,13.042545171635059,0.041133524150265055,3.906117021410644,3.7665613561805937,"[0, 30, 42, 114, 141, 164, 170, 204, 283, 323, 357]"
11,25,7,15,med,2819.512598732648,15.282438006331029,0.07116239742735533,4.560860823313573,3.2782626993018673,"[0, 30, 44, 115, 141, 164, 170, 204, 276, 290, 323, 357]"
11,25,7,15,mode,2848.7287380890325,15.849273397060674,0.06697726897637735,4.644177859317053,3.0679845838527506,"[0, 30, 44, 115, 141, 164, 169, 204, 276, 286, 323, 357]"
11,25,7,15,mean,1998.0656086136794,13.004562721279166,0.03783339262836747,3.575152854056573,3.6253155019139003,"[0, 30, 42, 114, 141, 164, 170, 204, 276, 290, 323, 357]"
12,25,7,15,med,6427.702541253769,28.944962565156914,0.16125765710029455,13.02640044924217,2.907486684918403,"[0, 30, 41, 44, 115, 141, 164, 170, 204, 276, 290, 323, 357]"
12,25,7,15,mode,6454.2626679413925,29.46026746582023,0.15745299487213274,13.102143209245334,2.7163247617828414,"[0, 30, 41, 44, 115, 141, 164, 169, 204, 276, 286, 323, 357]"
12,25,7,15,mean,6397.749998047723,28.849530389701496,0.16014925872427282,12.930132426659462,2.937652400882531,"[0, 30, 41, 44, 114, 141, 164, 170, 204, 276, 290, 323, 357]"
13,25,7,15,med,5881.141299817974,27.79836947509504,0.15166788137915874,11.950261868583695,2.8114852406204203,"[0, 30, 41, 44, 115, 141, 164, 170, 204, 276, 286, 295, 323, 357]"
13,25,7,15,mode,5852.087408742441,27.818267697336662,0.14859080421108253,11.899117476759512,2.8045994579691995,"[0, 30, 41, 44, 115, 141, 164, 169, 204, 276, 286, 295, 323, 357]"
13,25,7,15,mean,5853.684801879098,27.710889980927572,0.15065184953447217,11.862016181216212,2.839137146920871,"[0, 30, 41, 44, 114, 141, 164, 170, 204, 276, 286, 295, 323, 357]"
3,25,7,20,med,5542.402688142826,11.411956620606507,0.04935626575361124,9.741404062214745,4.654381482388091,"[0, 141, 323, 357]"
3,25,7,20,mode,5542.402688142826,11.411956620606507,0.04935626575361124,9.741404062214745,4.654381482388091,"[0, 141, 323, 357]"
3,25,7,20,mean,4252.76179550749,9.610349303122652,0.046406496421826225,7.379615237863622,5.215029208624793,"[0, 122, 318, 357]"
4,25,7,20,med,4296.4335729872955,10.679173463151587,0.03352083563124098,7.281243275020029,4.742815490372055,"[0, 41, 142, 323, 357]"
4,25,7,20,mode,3717.0020447817637,9.794726979271488,0.05375497251103723,6.6525159615759,5.510050918404677,"[0, 44, 141, 323, 357]"
4,25,7,20,mean,3433.502360377102,9.401958168473584,0.029586265754888704,5.696336153645704,5.200305786420902,"[0, 40, 149, 318, 357]"
5,25,7,20,med,4083.360543912173,12.409847086399276,0.05806301190301104,7.095318673320806,3.813602755740776,"[0, 41, 141, 170, 323, 357]"
5,25,7,20,mode,4147.309796689653,13.064216072240374,0.1029799049879138,7.8557469919060585,3.9030114760940076,"[0, 44, 141, 164, 323, 357]"
5,25,7,20,mean,2643.5400552893852,9.24870419811022,0.039241097244832164,4.468715554145993,5.2111715197690245,"[0, 40, 129, 171, 318, 357]"
6,25,7,20,med,4002.80648106283,13.359581821500452,0.053524891777358995,6.966882130518729,3.4729310790728407,"[0, 41, 113, 141, 170, 323, 357]"
6,25,7,20,mode,3761.8233124230414,13.2487249781255,0.08517255201546385,7.054353275265039,3.786279131569389,"[0, 44, 113, 141, 164, 323, 357]"
6,25,7,20,mean,3335.6923314095643,12.075290465595193,0.049181654607540974,5.713842670094934,3.857133325653416,"[0, 39, 112, 141, 171, 318, 357]"
7,25,7,20,med,3459.5796385162707,12.576016524394921,0.04785141307885873,6.059255836949634,3.98611441499579,"[0, 41, 113, 141, 170, 276, 323, 357]"
7,25,7,20,mode,3271.7889808521863,12.516914040211873,0.07456128836252879,6.154390146446874,4.2094251680149295,"[0, 44, 113, 141, 164, 276, 323, 357]"
7,25,7,20,mean,3062.975275379942,11.850705186216842,0.04265362031710233,5.335061553423557,4.1824857050740185,"[0, 39, 112, 141, 171, 281, 323, 357]"
8,25,7,20,med,3368.6975483707615,12.75312855669337,0.04815522133204991,5.925647801035934,3.9811731039578953,"[0, 41, 113, 141, 169, 204, 276, 323, 357]"
8,25,7,20,mode,2996.2987141192257,12.078359047297697,0.06561070239762866,5.576962169753853,4.5074425370518805,"[0, 44, 113, 141, 164, 204, 276, 323, 357]"
8,25,7,20,mean,3046.3851549650126,12.222038925235951,0.04420110195807073,5.337655627163835,4.139684425898557,"[0, 39, 112, 141, 168, 204, 281, 323, 357]"
9,25,7,20,med,3005.0465326497683,12.397720549225678,0.05069001550873468,5.402198513761288,4.105969604378656,"[0, 41, 82, 113, 141, 169, 204, 276, 323, 357]"
9,25,7,20,mode,2794.8627008185213,12.039750477516353,0.056974655725819626,5.270558714022178,4.3543737667543905,"[0, 44, 82, 113, 141, 164, 204, 276, 323, 357]"
9,25,7,20,mean,2811.1812856544743,12.126873971571701,0.047690168962587744,5.04213075783184,4.176990561663884,"[0, 39, 82, 113, 141, 168, 204, 281, 323, 357]"
10,25,7,20,med,3556.842562416063,14.934317908086756,0.07984140304006937,5.777479429053198,3.6438680133180616,"[0, 30, 44, 82, 113, 141, 169, 204, 276, 323, 357]"
10,25,7,20,mode,3505.8990331866944,14.928711164039896,0.08294504961440238,5.648706633666253,3.8023876413681785,"[0, 30, 44, 82, 113, 141, 164, 204, 276, 323, 357]"
10,25,7,20,mean,2448.6460075230702,11.829761368893363,0.04508719550406486,4.467210244658034,4.376399062832962,"[0, 30, 42, 82, 113, 141, 168, 204, 281, 323, 357]"
11,25,7,20,med,3105.8200488315074,14.615358346943443,0.07311919301874599,5.029209373472084,3.4634500406224986,"[0, 30, 44, 82, 113, 141, 169, 204, 276, 295, 323, 357]"
11,25,7,20,mode,3059.9708725250757,14.610312277301267,0.07591247493564571,4.913313857623834,3.6061177058676037,"[0, 30, 44, 82, 113, 141, 164, 204, 276, 295, 323, 357]"
11,25,7,20,mean,2204.07567227171,11.907977022511295,0.042015979270280786,4.0272485026180185,4.140429955329066,"[0, 30, 42, 82, 113, 141, 168, 204, 276, 292, 323, 357]"
12,25,7,20,med,2633.1616428284224,14.854225805057217,0.06424407187940105,4.241450096874159,3.3209590804497053,"[0, 30, 44, 82, 113, 141, 164, 170, 204, 276, 295, 323, 357]"
12,25,7,20,mode,2601.46648892784,14.875932956593537,0.06088726042331793,4.18565621488414,3.3134473175574644,"[0, 30, 44, 82, 113, 141, 164, 169, 204, 276, 295, 323, 357]"
12,25,7,20,mean,1856.6267479257915,12.471900246339919,0.03646423030746246,3.4201778095294397,3.888966236142419,"[0, 30, 42, 82, 113, 141, 164, 170, 204, 276, 292, 323, 357]"
13,25,7,20,med,5974.5294562442805,27.47923142743906,0.15265891881330182,12.183460824419335,2.9917156589769576,"[0, 30, 41, 44, 82, 113, 141, 164, 170, 204, 276, 295, 323, 357]"
13,25,7,20,mode,5945.475565168748,27.499129649680683,0.14958184164522562,12.132316432595152,2.984829876325737,"[0, 30, 41, 44, 82, 113, 141, 164, 169, 204, 276, 295, 323, 357]"
13,25,7,20,mean,5986.334554202065,27.496645710488306,0.15194657372015025,12.197508482961496,2.993623851536821,"[0, 30, 41, 44, 82, 113, 141, 164, 170, 204, 276, 292, 323, 357]"
3,25,8,10,med,5542.402688142826,11.411956620606507,0.04935626575361124,9.741404062214745,4.654381482388091,"[0, 141, 323, 357]"
3,25,8,10,mode,4962.988416920823,12.059860688404147,0.031465582966633,7.905837882607822,4.040228753132288,"[0, 41, 323, 357]"
3,25,8,10,mean,4252.766269057076,9.612510125452665,0.045409039093580364,7.368889587758337,5.217163112823167,"[0, 110, 317, 357]"
4,25,8,10,med,4533.207290979808,10.896086285359369,0.035614138006910344,7.832577465365719,4.501549337975012,"[0, 41, 164, 323, 357]"
4,25,8,10,mode,4419.831463832521,10.831363351743613,0.03430918292999582,7.477412134839706,4.625230151353357,"[0, 41, 141, 323, 357]"
4,25,8,10,mean,3546.744748712815,9.499034781718043,0.029458223158549717,5.905995012121863,5.055154257952702,"[0, 39, 154, 317, 357]"
5,25,8,10,med,4083.360543912173,12.409847086399276,0.05806301190301104,7.095318673320806,3.813602755740776,"[0, 41, 141, 170, 323, 357]"
5,25,8,10,mode,4083.360543912173,12.409847086399276,0.05806301190301104,7.095318673320806,3.813602755740776,"[0, 41, 141, 170, 323, 357]"
5,25,8,10,mean,3039.326800507991,10.269810583017279,0.04424460221713888,5.147066424066953,4.541973951717062,"[0, 39, 134, 169, 317, 357]"
6,25,8,10,med,3081.940718260224,11.339092330575065,0.046594063691759814,5.306207659374171,4.394867075628237,"[0, 41, 141, 170, 286, 323, 357]"
6,25,8,10,mode,3081.940718260224,11.339092330575065,0.046594063691759814,5.306207659374171,4.394867075628237,"[0, 41, 141, 170, 286, 323, 357]"
6,25,8,10,mean,2699.606817386829,10.414637589767548,0.03827052478846769,4.677881940983554,4.7431452560189875,"[0, 39, 134, 169, 287, 323, 357]"
7,25,8,10,med,3251.2314910124646,12.55212461152999,0.04715529398448512,5.606155344567945,3.951685445911252,"[0, 41, 115, 141, 170, 286, 323, 357]"
7,25,8,10,mode,3251.2314910124646,12.55212461152999,0.04715529398448512,5.606155344567945,3.951685445911252,"[0, 41, 115, 141, 170, 286, 323, 357]"
7,25,8,10,mean,3150.742283417419,12.26234422620656,0.045454789708012276,5.511952374849465,4.048851149135515,"[0, 39, 112, 141, 169, 287, 323, 357]"
8,25,8,10,med,3157.3134553240566,12.656120055444102,0.04567462329604871,5.460843637860947,3.9255735189231102,"[0, 41, 115, 141, 170, 204, 286, 323, 357]"
8,25,8,10,mode,3157.3134553240566,12.656120055444102,0.04567462329604871,5.460843637860947,3.9255735189231102,"[0, 41, 115, 141, 170, 204, 286, 323, 357]"
8,25,8,10,mean,2980.0904925906398,12.226558401017579,0.04461168925201827,5.186147818449386,4.180695765600235,"[0, 39, 112, 141, 167, 204, 287, 323, 357]"
9,25,8,10,med,2648.275193709236,12.470182019059122,0.020558288529513247,4.675823374347619,3.7729813896585136,"[0, 30, 41, 115, 141, 170, 204, 286, 323, 357]"
9,25,8,10,mode,2648.275193709236,12.470182019059122,0.020558288529513247,4.675823374347619,3.7729813896585136,"[0, 30, 41, 115, 141, 170, 204, 286, 323, 357]"
9,25,8,10,mean,2527.031350457913,12.133338080245132,0.047350580681029354,4.461604065209952,4.210404530416717,"[0, 30, 42, 112, 141, 167, 204, 287, 323, 357]"
10,25,8,10,med,2171.7488283212633,13.109366257987759,0.017198921108818446,3.8533844022208004,3.560164376424824,"[0, 30, 41, 115, 141, 164, 170, 204, 286, 323, 357]"
10,25,8,10,mode,2171.7488283212633,13.109366257987759,0.017198921108818446,3.8533844022208004,3.560164376424824,"[0, 30, 41, 115, 141, 164, 170, 204, 286, 323, 357]"
10,25,8,10,mean,2050.650920936042,12.317362508243498,0.04087596148386795,3.650871058586448,3.9917328247649753,"[0, 30, 42, 112, 141, 161, 170, 204, 287, 323, 357]"
11,25,8,10,med,2075.6070300423944,13.197904915347465,0.022129103679861845,3.842060072509713,3.546676244406713,"[0, 30, 41, 98, 115, 141, 164, 170, 204, 286, 323, 357]"
11,25,8,10,mode,2075.6070300423944,13.197904915347465,0.022129103679861845,3.842060072509713,3.546676244406713,"[0, 30, 41, 98, 115, 141, 164, 170, 204, 286, 323, 357]"
11,25,8,10,mean,2090.069774588599,12.864646466400492,0.04581487491552183,3.8287888850995984,3.831276800850449,"[0, 30, 42, 98, 114, 141, 161, 170, 204, 287, 323, 357]"
12,25,8,10,med,1941.1698348908574,13.72000699837373,0.032095002382208096,3.6409433880432673,3.451761370343367,"[0, 30, 41, 98, 115, 141, 157, 164, 170, 204, 286, 323, 357]"
12,25,8,10,mode,1941.1698348908574,13.72000699837373,0.032095002382208096,3.6409433880432673,3.451761370343367,"[0, 30, 41, 98, 115, 141, 157, 164, 170, 204, 286, 323, 357]"
12,25,8,10,mean,1967.0573081770287,13.788996890833793,0.051940555264979135,3.6490232655845616,3.6114061574113334,"[0, 30, 42, 98, 114, 141, 157, 164, 170, 204, 287, 323, 357]"
13,25,8,10,med,1732.7043804353634,13.6957343804886,0.03181485724512251,3.2514344913543556,3.301549230119161,"[0, 30, 41, 98, 115, 141, 157, 164, 170, 204, 286, 295, 323, 357]"
13,25,8,10,mode,1732.7043804353634,13.6957343804886,0.03181485724512251,3.2514344913543556,3.301549230119161,"[0, 30, 41, 98, 115, 141, 157, 164, 170, 204, 286, 295, 323, 357]"
13,25,8,10,mean,1742.6923334930714,13.72815185639263,0.04978744875673179,3.2279676522194194,3.4469094431278062,"[0, 30, 42, 98, 114, 141, 157, 164, 170, 204, 286, 295, 323, 357]"
3,25,8,15,med,5542.402688142826,11.411956620606507,0.04935626575361124,9.741404062214745,4.654381482388091,"[0, 141, 323, 357]"
3,25,8,15,mode,5542.402688142826,11.411956620606507,0.04935626575361124,9.741404062214745,4.654381482388091,"[0, 141, 323, 357]"
3,25,8,15,mean,4274.051878087109,9.527828670894301,0.042467962198193716,7.396752625244334,5.217198498714544,"[0, 119, 316, 357]"
4,25,8,15,med,4542.001343931202,10.893939147399799,0.03520429863362679,7.7907069655835715,4.536662211957939,"[0, 41, 157, 323, 357]"
4,25,8,15,mode,4319.738194960512,10.972234836465894,0.04336972334120929,7.357570490360948,4.626063093284925,"[0, 30, 141, 323, 357]"
4,25,8,15,mean,3534.243168680166,9.525194765185502,0.02795605378090343,5.851653724273149,5.04174516971334,"[0, 38, 152, 316, 357]"
5,25,8,15,med,4083.360543912173,12.409847086399276,0.05806301190301104,7.095318673320806,3.813602755740776,"[0, 41, 141, 170, 323, 357]"
5,25,8,15,mode,4088.8140434316856,12.63392795552706,0.06958181353899087,7.160398566943664,3.717497384240363,"[0, 30, 141, 170, 323, 357]"
5,25,8,15,mean,2548.4109118524702,9.04441007331964,0.040831097191187916,4.3418100579624435,5.377538125065611,"[0, 38, 131, 172, 316, 357]"
6,25,8,15,med,3081.940718260224,11.339092330575065,0.046594063691759814,5.306207659374171,4.394867075628237,"[0, 41, 141, 170, 286, 323, 357]"
6,25,8,15,mode,3086.303517875834,11.518357025877291,0.05580910500054369,5.358271574272458,4.317982778427906,"[0, 30, 141, 170, 286, 323, 357]"
6,25,8,15,mean,2283.1691447040885,9.327531544173835,0.035572259637227266,3.9801560670689056,5.4682905360950675,"[0, 38, 131, 172, 285, 323, 357]"
7,25,8,15,med,3251.2314910124646,12.55212461152999,0.04715529398448512,5.606155344567945,3.951685445911252,"[0, 41, 115, 141, 170, 286, 323, 357]"
7,25,8,15,mode,3129.397505074856,12.426640126842889,0.051286741141577864,5.474530101951835,3.9931799480715076,"[0, 30, 115, 141, 170, 286, 323, 357]"
7,25,8,15,mean,2734.0618283243093,11.281183780374645,0.03971626092572834,4.647901477885637,4.319544615622874,"[0, 38, 113, 142, 173, 285, 323, 357]"
8,25,8,15,med,3157.3134553240566,12.656120055444102,0.04567462329604871,5.460843637860947,3.9255735189231102,"[0, 41, 115, 141, 170, 204, 286, 323, 357]"
8,25,8,15,mode,3052.8843245203925,12.548561925712301,0.04921586371641391,5.3480220013328506,3.9611402350604727,"[0, 30, 115, 141, 170, 204, 286, 323, 357]"
8,25,8,15,mean,3073.0747210253767,12.433194773879814,0.044888720515910766,5.36281333952711,4.036097302777292,"[0, 38, 113, 141, 168, 204, 285, 323, 357]"
9,25,8,15,med,3633.3371838676367,15.179037023394244,0.08860877896680396,5.836862530083838,3.6067464078210594,"[0, 30, 44, 115, 141, 170, 204, 286, 323, 357]"
9,25,8,15,mode,3633.3371838676367,15.179037023394244,0.08860877896680396,5.836862530083838,3.6067464078210594,"[0, 30, 44, 115, 141, 170, 204, 286, 323, 357]"
9,25,8,15,mean,2617.095887214752,12.332545010260768,0.047945118976408574,4.63383013686906,4.075298724980081,"[0, 30, 42, 113, 141, 168, 204, 285, 323, 357]"
10,25,8,15,med,3047.3594862398404,15.517237372952312,0.07768824594196574,4.8854192073196625,3.4123999481248646,"[0, 30, 44, 115, 141, 164, 170, 204, 286, 323, 357]"
10,25,8,15,mode,3047.3594862398404,15.517237372952312,0.07768824594196574,4.8854192073196625,3.4123999481248646,"[0, 30, 44, 115, 141, 164, 170, 204, 286, 323, 357]"
10,25,8,15,mean,2157.893164060324,12.747271506181452,0.04367874590486024,3.851457365037452,3.845581668525772,"[0, 30, 42, 113, 141, 162, 170, 204, 285, 323, 357]"
11,25,8,15,med,2976.1859887038254,15.74060230502408,0.07823854047636444,4.876163752945923,3.272890478621837,"[0, 30, 44, 98, 115, 141, 164, 170, 204, 286, 323, 357]"
11,25,8,15,mode,2976.1859887038254,15.74060230502408,0.07823854047636444,4.876163752945923,3.272890478621837,"[0, 30, 44, 98, 115, 141, 164, 170, 204, 286, 323, 357]"
11,25,8,15,mean,2126.284262202187,13.085983639287784,0.04722397280012852,3.8992237819810276,3.7535242181198583,"[0, 30, 42, 98, 114, 141, 162, 170, 204, 285, 323, 357]"
12,25,8,15,med,2833.7780531524013,16.000440181579755,0.07180807336969458,4.713488723513,2.979980043948795,"[0, 30, 44, 98, 115, 141, 164, 170, 204, 276, 286, 323, 357]"
12,25,8,15,mode,2833.7780531524013,16.000440181579755,0.07180807336969458,4.713488723513,2.979980043948795,"[0, 30, 44, 98, 115, 141, 164, 170, 204, 276, 286, 323, 357]"
12,25,8,15,mean,2037.8620067523748,13.548881260448661,0.043215322359616865,3.7770853405088105,3.4396002442742355,"[0, 30, 42, 98, 114, 141, 162, 170, 204, 276, 286, 323, 357]"
13,25,8,15,med,2647.3630390043254,16.245489152167803,0.07680356637269259,4.456512708501817,2.9401994260955546,"[0, 30, 44, 98, 115, 141, 157, 164, 170, 204, 276, 286, 323, 357]"
13,25,8,15,mode,2647.3630390043254,16.245489152167803,0.07680356637269259,4.456512708501817,2.9401994260955546,"[0, 30, 44, 98, 115, 141, 157, 164, 170, 204, 276, 286, 323, 357]"
13,25,8,15,mean,1906.8685265108404,14.158992136674655,0.04801829388721638,3.5712928023367074,3.3137144439249293,"[0, 30, 42, 98, 114, 141, 157, 164, 170, 204, 276, 286, 323, 357]"
3,25,8,20,med,5542.402688142826,11.411956620606507,0.04935626575361124,9.741404062214745,4.654381482388091,"[0, 141, 323, 357]"
3,25,8,20,mode,5542.402688142826,11.411956620606507,0.04935626575361124,9.741404062214745,4.654381482388091,"[0, 141, 323, 357]"
3,25,8,20,mean,4130.031499854791,9.290018541805022,0.040809815572349015,7.134459031591579,5.305295469395504,"[0, 122, 315, 357]"
